id;name;standard
1111;Annie;anne
1112;Alexandrina;alexander
1113;Gottlieb;godlief
1114;Magteld;machthilde
1115;Korelis;cornelis
1116;Heinrich;heimrijk
1117;Heronimus;hieronymus
1118;Bessel;bert
1119;Elsdine;elisabeth
1120;Koenradus;koenraad
1121;Henderica;heimrijk
1122;Geertrudis;geertruida
1123;Corry;cornelis
1124;Magrieta;margareta
1125;Allebertus;adelbert
1126;Veronica;veronica
1127;Jitze;jet
1128;Goskje;god
1129;IJtske;id
1130;Caspar;casper
1131;Gerbrand;geerbrand
1132;Fenna;ferdinand
1133;Afra;ave
1134;Arieda;adriaan
1135;Aldegonda;adelgonda
1136;Annaatje;anne
1137;Regina;regina
1138;Lipkje;liedb-
1139;Frieda;fried
1140;Selis;marcel
1141;Nathanael;nathaniël
1142;Letta;adelheid
1143;Eugéne;eugenius
1144;Haasse;hase
1145;Tjaakje;died
1146;Jodocus;jodocus
1147;Charlottha;karel
1148;Fuit;
1149;Germanus;geerm-
1150;Appollonia;apollonius
1151;Susanne;susanna
1152;Jenna;johannes
1153;Fransiscus;franciscus
1154;Celine;cecilia
1155;Dammisse;damasus
1156;Johannus;johannes
1157;Herreke;heer
1158;Jakoba;jacob
1159;Willemyntje;wilhelm
1160;Cijtje;zege
1161;Lodewikus;lodewijk
1162;Simonia;simon
1163;Severus;severinus
1164;Noach;noach
1165;Abrahamina;abraham
1166;Gordina;geerhard
1167;Didericus;diedrijk
1168;Nanette;nan
1169;Gonna;gond
1170;Greta;margareta
1171;Emmigje;erm
1172;Agneta;agnes
1173;Mary;maria
1174;IJka;ei
1175;Louwsive;laurens
1176;Silverster;silvester
1177;Agnietje;agnes
1178;Pleun;apollonius
1179;Bernhard;bernhard
1180;Jeroentje;gregorius
1181;Ananias;annanias
1182;Cornbertus;
1183;Lollius;lodewijk
1184;Mijndert;meinhard
1185;Diederich;diedrijk
1186;Fokke;folk
1187;Wijpkje;wijgb-
1188;Roelofje;rodwolf
1189;Mies;bartholomeus
1190;Israël;israel
1191;Ruward;raadward
1192;Gysbertus;gijsbert
1193;Harpert;heerbert
1194;Frank;franciscus
1195;Harriette;heimrijk
1196;Elsa;elisabeth
