Period_start;Period_end;Name;Picture;Picture_saved;Term/Details
1613;1614;Johannes Polyander van Kerckhoven;//upload.wikimedia.org/wikipedia/commons/thumb/1/15/Joh_Polyander_a_Kerkhoven.jpg/62pxJoh_Polyander_a_Kerkhoven.jpg;pictures/Johannes Polyander van Kerckhoven.jpg;1
1614;1615;Pieter Pauw;//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Petrus_Paaw.jpg/62pxPetrus_Paaw.jpg;pictures/Pieter Pauw.jpg;3
1615;1616;Cornelius Paulinus Swanenburg;//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/CSwanenburg.jpg/62pxCSwanenburg.jpg;pictures/Cornelius Paulinus Swanenburg.jpg;
1616;1617;Wilhelm Coddaeus;//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Wilhelmus_Coddaeus.jpg/62pxWilhelmus_Coddaeus.jpg;pictures/Wilhelm Coddaeus.jpg;
1617;1618;Johannes Polyander a Kerckhoven;//upload.wikimedia.org/wikipedia/commons/thumb/1/15/Joh_Polyander_a_Kerkhoven.jpg/62pxJoh_Polyander_a_Kerkhoven.jpg;pictures/Johannes Polyander a Kerckhoven.jpg;2
1618;1619;Johannes Polyander a Kerckhoven;//upload.wikimedia.org/wikipedia/commons/thumb/1/15/Joh_Polyander_a_Kerkhoven.jpg/62pxJoh_Polyander_a_Kerkhoven.jpg;pictures/Johannes Polyander a Kerckhoven.jpg;3
1619;1620;Reiner Bontius;//upload.wikimedia.org/wikipedia/commons/thumb/1/11/ReinerBontius.jpg/62pxReinerBontius.jpg;pictures/Reiner Bontius.jpg;
1620;1621;Reiner Bontius;//upload.wikimedia.org/wikipedia/commons/thumb/1/11/ReinerBontius.jpg/62pxReinerBontius.jpg;pictures/Reiner Bontius.jpg;2
1621;1622;Aelius Everhardus Vorstius;//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/AeliusEverhardusVorstius.jpg/62pxAeliusEverhardusVorstius.jpg;pictures/Aelius Everhardus Vorstius.jpg;3
1622;1623;Aelius Everhardus Vorstius;//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/AeliusEverhardusVorstius.jpg/62pxAeliusEverhardusVorstius.jpg;pictures/Aelius Everhardus Vorstius.jpg;4
1623;1624;Petrus Cunaeus;//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Petrus_Cunaeus.jpg/62pxPetrus_Cunaeus.jpg;pictures/Petrus Cunaeus.jpg;
1624;1625;Petrus Cunaeus;//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Petrus_Cunaeus.jpg/62pxPetrus_Cunaeus.jpg;pictures/Petrus Cunaeus.jpg;2
1625;1626;Antonius Walaeus;//upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Antonius_Walaeus_%28Bailly%29.jpg/62pxAntonius_Walaeus_%28Bailly%29.jpg;pictures/Antonius Walaeus.jpg;
1626;1627;Antonius Walaeus;//upload.wikimedia.org/wikipedia/commons/thumb/4/41/AntoniusWalaeus2.jpg/62pxAntoniusWalaeus2.jpg;pictures/Antonius Walaeus.jpg;2
1627;1628;Johannes Polyander a Kerckhoven;//upload.wikimedia.org/wikipedia/commons/thumb/1/15/Joh_Polyander_a_Kerkhoven.jpg/62pxJoh_Polyander_a_Kerkhoven.jpg;pictures/Johannes Polyander a Kerckhoven.jpg;4
1628;1629;Johannes Polyander a Kerckhoven;//upload.wikimedia.org/wikipedia/commons/thumb/1/15/Joh_Polyander_a_Kerkhoven.jpg/62pxJoh_Polyander_a_Kerkhoven.jpg;pictures/Johannes Polyander a Kerckhoven.jpg;5
1629;1630;Franco Petri Burgersdijk;//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Franco_Petri_Burgersdijk.jpg/62pxFranco_Petri_Burgersdijk.jpg;pictures/Franco Petri Burgersdijk.jpg;
1630;1631;Franco Petri Burgersdijk;//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Franco_Petri_Burgersdijk.jpg/62pxFranco_Petri_Burgersdijk.jpg;pictures/Franco Petri Burgersdijk.jpg;2
1631;1632;Ewaldus Schrevelius;//upload.wikimedia.org/wikipedia/commons/thumb/4/49/EwaldusSchrevelius.jpg/62pxEwaldusSchrevelius.jpg;pictures/Ewaldus Schrevelius.jpg;
1632;1633;Petrus Cunaeus;//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Petrus_Cunaeus.jpg/62pxPetrus_Cunaeus.jpg;pictures/Petrus Cunaeus.jpg;3
1633;1634;Antonius Thysius;//upload.wikimedia.org/wikipedia/commons/thumb/4/42/AntoniusThysius.JPG/62pxAntoniusThysius.JPG;pictures/Antonius Thysius.jpg;
1634;1635;Franco Petri Burgersdijk;//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Franco_Petri_Burgersdijk.jpg/62pxFranco_Petri_Burgersdijk.jpg;pictures/Franco Petri Burgersdijk.jpg;3
1635;1636;Johannes Polyander a Kerckhoven;//upload.wikimedia.org/wikipedia/commons/thumb/1/15/Joh_Polyander_a_Kerkhoven.jpg/62pxJoh_Polyander_a_Kerkhoven.jpg;pictures/Johannes Polyander a Kerckhoven.jpg;6
1636;1637;Adolphus Vorstius;//upload.wikimedia.org/wikipedia/commons/thumb/4/48/AdolphusVorstius.jpg/62pxAdolphusVorstius.jpg;pictures/Adolphus Vorstius.jpg;
1637;1638;Petrus Cunaeus;//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Petrus_Cunaeus.jpg/62pxPetrus_Cunaeus.jpg;pictures/Petrus Cunaeus.jpg;4
1638;1639;Constantinus l'Empereur van Opwijck;//upload.wikimedia.org/wikipedia/commons/thumb/b/b8/L%27Empereur_Constantin.jpg/62pxL%27Empereur_Constantin.jpg;pictures/Constantinus l'Empereur van Opwijck.jpg;
